Date,Mkt-RF,SMB,HML,RF
"December 27, 2013",0.0135,0.0022,-0.0001,1.00E-05
"January 3, 2014",-0.0042,-0.0006,-0.0008,1.00E-05
"January 10, 2014",0.0067,0.0051,-0.0143,1.00E-05
"January 17, 2014",-0.0012,0.0064,-0.007,1.00E-05
"January 24, 2014",-0.026,0.0048,-0.0009,1.00E-05
"January 31, 2014",-0.0044,-0.0082,-0.0016,1.00E-05
"February 7, 2014",0.0056,-0.0219,0.0003,1.00E-05
"February 14, 2014",0.0253,0.0056,-0.0001,1.00E-05
"February 21, 2014",0.0014,0.0156,-0.008,1.00E-05
"February 28, 2014",0.0137,0.0045,0.004,1.00E-05
"March 7, 2014",0.0117,0.0049,0.016,1.00E-05
"March 14, 2014",-0.0194,0.002,-0.0008,1.00E-05
"March 21, 2014",0.0128,-0.0055,0.0206,1.00E-05
"March 28, 2014",-0.0101,-0.0291,0.016,1.00E-05
"April 4, 2014",0.0033,-0.0029,0.0109,0
"April 11, 2014",-0.0287,-0.0078,-0.0001,0
"April 17, 2014",0.0268,-0.0051,0.0017,0
"April 25, 2014",-0.0034,-0.0107,0.0054,0
"May 2, 2014",0.0099,-0.0056,-0.0064,0
"May 9, 2014",-0.0047,-0.0196,0.0069,0
"May 16, 2014",0,-0.0021,-0.012,0
"May 23, 2014",0.0139,0.0081,-0.0021,0
"May 30, 2014",0.0118,-0.005,0.0023,0
"June 6, 2014",0.016,0.0105,0.0031,1.00E-05
"June 13, 2014",-0.0052,0.007,-0.0058,1.00E-05
"June 20, 2014",0.0151,0.0074,-0.0028,1.00E-05
"June 27, 2014",-0.0006,0.0018,-0.0025,1.00E-05
"July 3, 2014",0.0138,0.0052,-0.003,0
"July 11, 2014",-0.0135,-0.0305,0.0058,0
"July 18, 2014",0.0037,-0.0143,0.0087,0
"July 25, 2014",-0.0001,-0.0048,-0.0083,0
"August 1, 2014",-0.0263,0.0026,-0.0027,0
"August 8, 2014",0.0051,0.0097,-0.0058,0
"August 15, 2014",0.0131,-0.0046,-0.0036,0
"August 22, 2014",0.0179,0.0001,0.004,0
"August 29, 2014",0.0089,0.0013,0.0001,0
"September 5, 2014",0.0018,-0.0049,-0.0002,0
"September 12, 2014",-0.0086,0.0055,-0.0049,0
"September 19, 2014",0.009,-0.0233,0.0041,0
"September 26, 2014",-0.0158,-0.0076,-0.0089,0
"October 3, 2014",-0.0079,-0.0039,-0.007,0
"October 10, 2014",-0.0359,-0.014,0.0059,0
"October 17, 2014",-0.0051,0.0358,-0.0087,0
"October 24, 2014",0.0406,-0.0074,-0.0067,0
"October 31, 2014",0.0287,0.0229,-0.0013,0
"November 7, 2014",0.0069,-0.0074,0.0066,0
"November 14, 2014",0.0054,-0.0008,-0.0125,0
"November 21, 2014",0.0105,-0.0139,-0.0024,0
"November 28, 2014",0.0026,0.0015,-0.0202,0
"December 5, 2014",0.0029,0.0016,0.0136,0
"December 12, 2014",-0.0344,0.0089,-0.0085,0
"December 19, 2014",0.0347,0.0014,0.0056,0
"December 26, 2014",0.0103,0.0064,0.0054,0
"January 2, 2015",-0.0138,0.001,0.0056,0
"January 9, 2015",-0.0078,-0.0036,-0.0231,0
"January 16, 2015",-0.0132,0.0043,-0.003,0
"January 23, 2015",0.0164,-0.0069,-0.0042,0
"January 30, 2015",-0.025,0.006,-0.0055,0
"February 6, 2015",0.0332,0.0019,0.0155,0
"February 13, 2015",0.021,-0.0045,-0.0129,0
"February 20, 2015",0.008,0.0015,-0.0141,0
"February 27, 2015",-0.0019,0.0065,-0.0046,0
"March 6, 2015",-0.0136,0.0059,-0.0053,0
"March 13, 2015",-0.0061,0.0168,0.005,0
"March 20, 2015",0.0259,0.0003,-0.0102,0
"March 27, 2015",-0.0216,0.004,0.0024,0
"April 2, 2015",0.0045,0.007,0.0106,1.00E-05
"April 10, 2015",0.0167,-0.0071,-0.0135,1.00E-05
"April 17, 2015",-0.0102,0,0.0072,1.00E-05
"April 24, 2015",0.0177,-0.0022,-0.0135,1.00E-05
"May 1, 2015",-0.0077,-0.0261,0.0241,0
"May 8, 2015",0.0041,-0.0004,0.001,0
"May 15, 2015",0.0041,0.0032,-0.0047,0
"May 22, 2015",0.0032,0.0043,-0.0011,0
"May 29, 2015",-0.0079,0.0044,-0.0015,0
"June 5, 2015",-0.0029,0.0183,-0.0011,0
"June 12, 2015",0.0011,0.0009,0.0058,0
"June 19, 2015",0.0083,0.0071,-0.0137,0
"June 26, 2015",-0.0035,0.0035,0.0063,0
"July 2, 2015",-0.0133,-0.0156,-0.007,0
